ID,Name,Tags,Faculty,School,CourseOutline,Campus,Career,UoC,EFTSL,ICHPW,Prereq,Excluded,CSSCC,GenEd,Description,,,,Enjoy,Difficult,Skip
COMP1000,"Introduction to World Wide Web, Spreadsheets and Databases","<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1000'>http://www.cse.unsw.edu.au/~cs1000</a>,Sydney,Undergraduate,6,0.125,0,,"COMP0011, GENE8000",2,Yes,,,,,,,,
COMP1400,Programming for Designers,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1400'>www.cse.unsw.edu.au/~cs1400</a>,Sydney,Undergraduate,6,0.125,3, Enrolment in a non-CSE program.,"INFS1609, INFS2609",2,Yes,,,,,,,,
COMP1511,Introduction to Programming,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering/courses-programs/undergraduate'>Refer to the School's website</a>,Sydney,Undergraduate,6,0.125,7,,,2,Yes,,,,,,,,
COMP1521,Computer Systems Fundamentals,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering/courses-programs/course-offerings'>School website</a>,Sydney,Undergraduate,6,0.125,6,COMP1511 or COMP1911 or COMP1917,,2,Yes,,,,,,,,
COMP1531,Software Engineering Fundamentals,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='https://www.engineering.unsw.edu.au/computer-science-engineering'>School</a>,Sydney,Undergraduate,6,0.125,7,COMP1511 or COMP1917 or COMP1921,"SENG1010, SENG1020, SENG1031",2,Yes,,,,,,,,
COMP1911,Computing 1A,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1911'>www.cse.unsw.edu.au/~cs1911</a>,Sydney,Undergraduate,6,0.125,6, Enrolment in a non-CSE program.,,2,Yes,,,,,,,,
COMP1927,Computing 2,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs1927'>www.cse.unsw.edu.au/~cs1927</a>,Sydney,Undergraduate,6,0.125,6,COMP1917 or COMP1921.,,2,Yes,,,,,,,,
COMP2041,Software Construction: Techniques and Tools,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs2041'>www.cse.unsw.edu.au/~cs2041</a>,Sydney,Undergraduate,6,0.125,5,COMP1511 or COMP1917 or COMP1921,COMP9041,2,,,,,,,,,
COMP2111,System Modelling and Design,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs2111'>www.cse.unsw.edu.au/~cs2111</a>,Sydney,Undergraduate,6,0.125,4,"MATH1081, and COMP1511 or COMP1917 or COMP1911",,2,,,,,,,,,
COMP2121,Microprocessors and Interfacing,"<a href=/faculties/2017/eng/eng.html"">Faculty of Engineering</a>""","<a href=http://www.cse.unsw.edu.au/"">School of Computer Science and Engineering</a>""",<a class='iw_tst' href='http://www.cse.unsw.edu.au/~cs2121'>www.cse.unsw.edu.au/~cs2121</a>,Sydney,Undergraduate,6,0.125,5,"COMP1917 or COMP1921 or COMP1511 or COMP1521, or (COMP1911 and MTRN2500)","ELEC2142, MTRN3200",2,,,,,,,,,
